,year,month,volume_mean,day_of_week,value_mean,price_max,price_min,price_mean,power_max,power_min,power_mean,price_morning_max,price_evening_max,price_standard,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_hour_mean,standard_hour_mean,morning_hour_mean,evening_hour_mean,off_value,standard_value,morning_value,evening_value,standard_price_max,off_price_max,morning_price_max,evening_price_max,standard_price_min,off_price_min,morning_price_min,evening_price_min,volume,morning_volume,evening_volume,standard_volume,off_volume,value,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,price_weight_mean,off_price_weight_mean,standard_price_weight_mean,morning_price_weight_mean,evening_price_weight_mean,off_power,morning_power,standard_power,evening_power
36,2020,5,230.32258064516128,72.25806451612904,6895.858064516126,82.74800000000002,29.94000000000001,62.41266129032262,20.0,3.870967741935484,10.161290322580646,83.17387096774193,83.17387096774193,72.52709677419357,29.940000000000026,93.41115384615385,,,11.0,14.26923076923077,,,204190.7999999999,9580.8,0.0,0.0,95.95000000000003,29.940000000000015,,,29.94,29.94,,,7140.0,0.0,0.0,320.0,6820.0,213771.59999999992,341,371.0,0.0,0.0,29.939999999999987,29.939999999999987,29.939999999999998,,,20.0,,0.862533692722372,
37,2020,6,208.0,66.13333333333334,6233.76,96.826,29.970000000000017,76.30492222222225,20.0,2.6666666666666665,8.911111111111108,102.39733333333331,102.39733333333331,91.25466666666665,29.97000000000002,113.53999999999998,,,10.4,14.615384615384615,,,187012.80000000002,0.0,0.0,0.0,113.53999999999999,29.970000000000017,,,113.53999999999998,29.97,,,6240.0,0.0,0.0,0.0,6240.0,187012.80000000002,312,380.0,0.0,0.0,29.970000000000002,29.970000000000002,,,,20.0,,0.0,
38,2020,7,842.5806451612904,68.7741935483871,74471.38064516129,91.61999999999999,29.940000000000015,73.44346774193546,46.12903225806452,20.0,36.92741935483871,97.0916129032258,97.0916129032258,87.14322580645161,29.940000000000026,107.03999999999998,,,10.193548387096774,14.666666666666666,,,189220.79999999996,2119392.0,0.0,0.0,107.03999999999999,29.940000000000015,,,107.03999999999998,29.94,,,26120.0,0.0,0.0,19800.0,6320.0,2308612.8,316,396.0,0.0,0.0,88.3848698315467,29.939999999999994,107.04,,,20.0,,50.0,
39,2020,8,220.0,70.83870967741936,6586.7999999999965,91.612,29.94000000000001,70.32935752688171,20.0,3.225806451612903,9.521505376344082,94.5961290322581,94.5961290322581,82.16225806451617,29.940000000000026,107.03000000000004,,,11.0,14.26923076923077,,,204190.7999999999,0.0,0.0,0.0,107.02999999999999,29.940000000000015,,,107.02999999999999,29.94,,,6820.0,0.0,0.0,0.0,6820.0,204190.7999999999,341,371.0,0.0,0.0,29.939999999999987,29.939999999999987,,,,20.0,,0.0,
40,2020,9,208.0,67.73333333333333,5187.519999999999,84.98800000000001,24.94000000000001,66.89020000000002,20.0,2.6666666666666665,8.82222222222222,89.992,89.992,79.98400000000001,24.940000000000015,100.0,,,10.4,14.615384615384615,,,155625.59999999995,0.0,0.0,0.0,100.0,24.94000000000001,,,100.0,24.94,,,6240.0,0.0,0.0,0.0,6240.0,155625.59999999995,312,380.0,0.0,0.0,24.93999999999999,24.93999999999999,,,,20.0,,0.0,
41,2020,10,209.67741935483872,70.06451612903226,5648.709677419353,85.388,26.940000000000005,66.61236559139789,20.0,2.5806451612903225,9.139784946236556,90.57290322580646,90.57290322580646,78.78903225806454,26.940000000000023,100.0,,,10.483870967741936,14.333333333333334,,,175109.99999999994,0.0,0.0,0.0,100.0,26.940000000000012,,,100.0,26.94,,,6500.0,0.0,0.0,0.0,6500.0,175109.99999999994,325,387.0,0.0,0.0,26.93999999999999,26.93999999999999,,,,20.0,,0.0,
42,2020,11,218.66666666666666,69.2,6546.8799999999965,101.98800000000001,29.94000000000001,77.24651666666666,20.0,3.3333333333333335,9.494444444444442,104.99000000000001,104.99000000000001,92.98200000000001,29.940000000000023,120.0,,,10.933333333333334,14.56,,,196406.3999999999,0.0,0.0,0.0,120.0,29.940000000000015,,,120.0,29.94,,,6560.0,0.0,0.0,0.0,6560.0,196406.3999999999,328,364.0,0.0,0.0,29.939999999999987,29.939999999999987,,,,20.0,,0.0,
43,2020,12,218.70967741935485,67.48387096774194,9828.812903225806,88.98800000000001,44.940000000000026,74.43854301075272,20.0,3.870967741935484,9.28494623655914,89.34322580645163,89.34322580645163,84.01483870967743,44.94000000000003,95.92148148148148,,,10.193548387096774,14.666666666666666,,,284020.79999999993,20672.399999999994,0.0,0.0,100.0,44.940000000000026,,,44.94,44.94,,,6780.0,0.0,0.0,460.0,6320.0,304693.19999999995,316,396.0,0.0,0.0,44.93999999999999,44.93999999999999,44.93999999999999,,,20.0,,1.1616161616161615,
44,2021,1,230.32258064516128,72.25806451612904,10120.374193548387,88.78800000000001,43.94000000000002,71.51790322580645,20.0,3.870967741935484,10.161290322580646,89.14967741935484,89.14967741935484,80.10774193548387,43.94000000000003,97.84384615384616,,,11.0,14.26923076923077,,,299670.79999999993,14060.799999999996,0.0,0.0,100.0,43.940000000000026,,,43.94000000000001,43.94,,,7140.0,0.0,0.0,320.0,6820.0,313731.6,341,371.0,0.0,0.0,43.94,43.93999999999999,43.93999999999998,,,20.0,,0.862533692722372,
45,2021,2,116.1714285714285,70.14285714285714,5568.096571428572,89.58600000000001,47.92999999999998,75.88663095238098,10.699999999999994,1.5285714285714285,4.9551190476190445,92.56142857142856,92.56142857142856,85.12285714285713,47.93,100.0,,,10.857142857142858,14.5,,,155906.70400000003,0.0,0.0,0.0,100.0,47.93,,,100.0,47.92999999999998,,,3252.7999999999984,0.0,0.0,0.0,3252.7999999999984,155906.70400000003,304,348.0,0.0,0.0,47.930000000000035,47.930000000000035,,,,10.699999999999994,,0.0,
46,2021,3,203.8709677419355,65.29032258064517,10187.432258064517,89.994,49.97000000000001,78.1051505376344,20.0,2.5806451612903225,8.752688172043008,93.54451612903225,93.54451612903225,87.0890322580645,49.97000000000002,100.0,,,10.193548387096774,14.666666666666666,,,315810.4,0.0,0.0,0.0,100.0,49.97000000000002,,,100.0,49.97,,,6320.0,0.0,0.0,0.0,6320.0,315810.4,316,396.0,0.0,0.0,49.970000000000006,49.970000000000006,,,,20.0,,0.0,
47,2021,4,229.33333333333334,69.06666666666666,9161.866666666667,87.99000000000001,39.95000000000001,70.27525000000001,20.0,4.0,9.899999999999999,87.99,87.99,79.98333333333333,39.950000000000024,95.38076923076923,,,10.4,14.615384615384615,,,249288.0,25568.0,0.0,0.0,100.0,39.95000000000002,,,39.95,39.949999999999996,,,6880.0,0.0,0.0,640.0,6240.0,274856.0,312,380.0,0.0,0.0,39.95,39.95,39.95,,,20.0,,1.6842105263157894,
48,2021,5,224.51612903225808,70.83870967741936,8969.41935483871,87.99000000000001,39.95000000000001,70.73369623655917,20.0,3.870967741935484,9.747311827956988,88.37741935483871,88.37741935483871,80.62903225806451,39.950000000000024,97.6903846153846,,,11.0,14.26923076923077,,,272459.0,5593.0,0.0,0.0,100.0,39.95000000000002,,,39.949999999999996,39.949999999999996,,,6960.0,0.0,0.0,140.0,6820.0,278052.0,341,371.0,0.0,0.0,39.95,39.95,39.95,,,20.0,,0.37735849056603776,
