month,hour,price,volume,zamg,value
6,6,94.45560000000002,162.09866666666665,,14180.142280000002
6,7,116.00133333333336,156.67866666666666,,16216.097053333338
6,8,119.46193333333332,149.23200000000003,,15271.919479999995
6,9,105.74120000000003,112.71600000000001,,9569.230926666669
6,10,85.36013333333335,106.04133333333334,,7447.691939999995
6,11,84.12786666666669,107.40333333333335,,7493.464706666667
6,12,74.67633333333333,111.08333333333333,,6993.375899999997
6,13,73.97839999999998,113.17066666666666,,7059.194559999996
6,14,73.72926666666665,113.91399999999999,,7186.793433333331
6,15,74.39586666666665,116.98266666666665,,7310.210980000001
6,16,76.57606666666665,126.03866666666664,,7900.813059999999
6,17,163.67060000000004,111.21533333333335,,16465.072140000007
6,18,205.70440000000002,90.596,,17064.88601999998
6,19,175.99833333333328,85.70133333333331,,12625.408979999995
6,20,117.71260000000002,106.06466666666667,,9948.452673333324
6,21,76.89779999999998,115.42466666666667,,7851.314940000001
6,22,52.100199999999994,137.68266666666668,,6077.390773333336
6,23,45.11440000000001,131.70066666666668,,5171.538926666667
7,0,46.72238709677419,173.14,101.51870967741937,8243.85797419355
7,1,46.117612903225805,177.00193548387097,101.21677419354839,8487.452670967747
7,2,45.763935483870966,178.0387096774194,99.53032258064515,8526.768219354839
7,3,45.740645161290324,179.43225806451613,99.09580645161292,8575.600051612908
7,4,47.812967741935466,182.1561290322581,102.62580645161292,8819.333954838708
7,5,61.1203870967742,160.25935483870967,121.63258064516128,8954.128606451613
7,6,119.24096774193548,164.72064516129032,217.44096774193557,20182.454354838716
7,7,134.00535483870976,168.65354838709675,230.50838709677413,23360.535277419338
7,8,138.359870967742,162.49548387096775,234.4261290322581,22799.255793548382
7,9,120.52632258064517,139.5025806451613,178.2496774193549,16441.242929032258
7,10,86.93890322580644,141.70967741935485,146.81000000000003,12112.281941935486
7,11,80.58877419354837,145.57096774193548,142.50258064516132,11628.763574193546
7,12,75.57929032258069,147.02967741935484,143.35967741935485,10957.64860645162
7,13,74.73012903225812,147.09161290322578,143.52935483870968,10527.988993548386
7,14,74.44709677419357,147.39096774193544,144.4767741935484,10553.086199999998
7,15,75.41309677419356,147.54322580645163,147.4993548387097,10523.817929032262
7,16,81.06096774193554,143.98580645161292,174.75258064516134,10489.03398709677
7,17,196.77348387096782,124.52064516129033,277.67870967741936,22289.0688
7,18,225.72187096774198,97.61999999999999,293.09838709677416,20144.56854193548
7,19,202.65354838709672,94.61161290322579,286.35516129032254,18023.191858064525
7,20,146.55503225806453,118.83612903225806,219.2448387096774,15388.634361290326
7,21,77.8961290322581,133.3774193548387,136.8925806451613,9132.062748387103
7,22,56.16580645161292,159.3025806451613,109.85064516129032,7514.70350322581
7,23,47.71741935483871,163.96129032258062,102.32967741935487,7238.54035483871
8,0,41.976709677419386,175.01225806451615,117.4683870967742,8569.916051612903
8,1,41.527677419354895,176.16129032258067,117.52354838709677,8696.308174193548
8,2,41.601161290322615,179.02129032258065,118.92322580645161,8973.50876129032
8,3,41.86180645161295,179.91354838709677,119.08645161290323,9036.20027096774
8,4,44.176967741935506,182.95483870967743,117.0106451612903,9078.125412903226
8,5,55.89535483870969,156.46967741935487,129.60903225806453,8815.0368516129
8,6,123.85012903225804,173.62645161290325,201.51322580645166,22144.269438709674
8,7,130.59290322580645,188.52258064516127,199.90258064516127,24564.329322580645
8,8,133.19277419354842,191.32774193548386,198.0203225806452,25249.424316129043
8,9,104.28774193548388,158.89935483870968,146.40032258064517,15247.670264516126
8,10,78.8143225806452,158.5741935483871,117.85451612903223,12203.913477419352
8,11,73.05625806451614,166.3432258064516,118.13580645161295,11925.986122580645
8,12,68.37619354838712,163.7741935483871,120.50290322580648,10908.246593548385
8,13,66.62941935483873,162.96516129032258,123.22,10519.980180645161
8,14,67.34987096774198,161.49612903225804,129.90322580645162,10515.925999999998
8,15,68.3232258064516,160.7716129032258,149.32419354838711,10628.380167741936
