,0,1,2
312,(2021/12/13) 23-24,50.04,211.20
313,(2021/12/14) 00-01,50.02,193.90
314,(2021/12/14) 01-02,49.49,196
315,(2021/12/14) 02-03,48.39,208
316,(2021/12/14) 03-04,47.96,215
317,(2021/12/14) 04-05,49.14,202
318,(2021/12/14) 05-06,45.04,146
319,(2021/12/14) 06-07,182.01,134
320,(2021/12/14) 07-08,182.03,122
321,(2021/12/14) 08-09,182.07,123
322,(2021/12/14) 09-10,199.72,95
323,(2021/12/14) 10-11,122.65,75
324,(2021/12/14) 11-12,122.62,74
325,(2021/12/14) 12-13,121.28,93
326,(2021/12/14) 13-14,82.38,88
327,(2021/12/14) 14-15,83.40,81
328,(2021/12/14) 15-16,82.52,87
329,(2021/12/14) 16-17,84.56,91
330,(2021/12/14) 17-18,178.89,68
331,(2021/12/14) 18-19,316.30,37
332,(2021/12/14) 19-20,319.50,5
333,(2021/12/14) 20-21,319.50,5
334,(2021/12/14) 21-22,317.67,28
335,(2021/12/14) 22-23,50.45,186.60
336,(2021/12/14) 23-24,50.05,170.30
337,(2021/12/15) 00-01,50.06,175
338,(2021/12/15) 01-02,50.03,174.10
339,(2021/12/15) 02-03,50.01,172.90
340,(2021/12/15) 03-04,49.97,172
341,(2021/12/15) 04-05,50,173
342,(2021/12/15) 05-06,45.02,99
343,(2021/12/15) 06-07,180.06,67
344,(2021/12/15) 07-08,180.08,67
345,(2021/12/15) 08-09,180.09,72
346,(2021/12/15) 09-10,182.01,72
347,(2021/12/15) 10-11,108.29,98
348,(2021/12/15) 11-12,106.57,101
349,(2021/12/15) 12-13,81.08,123.90
350,(2021/12/15) 13-14,81.07,123.90
351,(2021/12/15) 14-15,81.07,124
352,(2021/12/15) 15-16,81.09,123.80
353,(2021/12/15) 16-17,81.03,101.80
354,(2021/12/15) 17-18,177.85,65
355,(2021/12/15) 18-19,262.01,55
356,(2021/12/15) 19-20,319.50,5
357,(2021/12/15) 20-21,319.50,5
358,(2021/12/15) 21-22,317.04,32.60
359,(2021/12/15) 22-23,50.75,190.70
360,(2021/12/15) 23-24,50.05,176
361,(2021/12/16) 00-01,50.53,169.10
362,(2021/12/16) 01-02,50.44,169.10
363,(2021/12/16) 02-03,49.70,179
364,(2021/12/16) 03-04,49.06,187
365,(2021/12/16) 04-05,49.63,180
366,(2021/12/16) 05-06,45.04,129
367,(2021/12/16) 06-07,180.04,71
368,(2021/12/16) 07-08,180.07,71
369,(2021/12/16) 08-09,180.43,76
370,(2021/12/16) 09-10,186.82,74.90
371,(2021/12/16) 10-11,108.98,72
372,(2021/12/16) 11-12,96.45,78
373,(2021/12/16) 12-13,82.47,90.40
374,(2021/12/16) 13-14,82.02,93.40
375,(2021/12/16) 14-15,82.19,92.30
376,(2021/12/16) 15-16,82.26,91.80
377,(2021/12/16) 16-17,81.09,99.80
378,(2021/12/16) 17-18,84.57,73.90
379,(2021/12/16) 18-19,262.03,55
380,(2021/12/16) 19-20,319.50,5
381,(2021/12/16) 20-21,319.50,5
382,(2021/12/16) 21-22,289.75,55.10
383,(2021/12/16) 22-23,50.62,196
384,(2021/12/16) 23-24,50.08,178.80
385,(2021/12/17) 00-01,50.04,166.50
386,(2021/12/17) 01-02,50.01,163
387,(2021/12/17) 02-03,49.96,162.30
388,(2021/12/17) 03-04,49.91,163
389,(2021/12/17) 04-05,49.94,165.30
390,(2021/12/17) 05-06,45.03,103
391,(2021/12/17) 06-07,180.05,75
392,(2021/12/17) 07-08,180.08,75
393,(2021/12/17) 08-09,180.43,78
394,(2021/12/17) 09-10,231.67,50
395,(2021/12/17) 10-11,122.35,43
396,(2021/12/17) 11-12,121.74,53
397,(2021/12/17) 12-13,84.85,76
398,(2021/12/17) 13-14,84.42,79
399,(2021/12/17) 14-15,82.99,88.80
400,(2021/12/17) 15-16,81.02,102.30
401,(2021/12/17) 16-17,81.02,102.30
402,(2021/12/17) 17-18,179.25,85.40
403,(2021/12/17) 18-19,262.04,55
404,(2021/12/17) 19-20,316.20,38
405,(2021/12/17) 20-21,319.40,6
406,(2021/12/17) 21-22,280.13,57.50
407,(2021/12/17) 22-23,50.09,159.50
408,(2021/12/17) 23-24,50.01,134.40
409,(2021/12/18) 00-01,50.06,153.10
